name,group,element,units,context,S13946,S13947,S13948,S13949,S13950,S13951,S13952,S13953,S13954,S13955,S13956,S13957,S13958,S13959,S13960,S13961,S13962,S13963,S13964,S13965,S13966,S13967,S13968,S13969,S13970,S13971,S13972,S13973,S13974,S13975,S13976,S13977,S13978,S13979,S13980,S13981,S13982,S13983,S13984,S13985,S13986,S13987,S13988,S13989,S13990,S13991,S13992,S13993,S13994,S13995,S13996,S13997,S13998,S13999,S14000,S14001,S14002,S14003,S14004,S14005,S14006,S14007,S14008,S14009,S14010,S14011,S14012,S14013,S14014,S14015,S14016,S14017,S14018,S14019,S14020,S14021,S14022,S14023,S14024,S14025,S14026,S14027,S14028,S14029,S14030,S14031,S14032,S14033,S14034,S14035,S14036,S14037,S14038,S14039,S14040,S14041,S14042,S14043,S14044,S14045,S14046,S14047,S14048,S14049,S14050,S14051,S14052,S14053,S14054,S14055,S14056,S14057,S14058,S14059,S14060,S14061,S14062,S14063,S14064,S14065,S14066,S14067
Fagus,TRSH,pollen,NISP,,1,,1,,,,8,1,1,3,1,2,2,2,5,,6,,1,1,3,3,8,2,3,,1,2,,1,,,,1,2,1,,1,1,,2,1,2,,2,1,1,,,,2,1,,1,2,,1,1,,2,1,1,2,1,2,,1,1,,,,,,,,,,,1,1,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fraxinus,TRSH,pollen,NISP,,7,19,6,8,7,17,38,7,16,14,12,5,5,4,10,4,13,5,8,11,9,4,16,12,12,12,8,16,5,16,14,16,11,11,8,16,20,21,7,7,14,16,15,13,13,12,15,14,12,9,7,12,12,15,22,6,12,10,13,5,11,22,17,8,6,10,16,10,8,12,16,7,10,20,12,11,11,9,7,17,32,14,11,10,25,8,18,25,27,27,13,90,535,132,83,159,117,74,47,99,35,20,26,29,18,24,21,43,101,111,170,117,88,92,146,94,100,71,93,62,68,8
Ilex,TRSH,pollen,NISP,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,,1,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indeterminable,UNID,pollen/spore,NISP,,7,13,15,5,8,10,10,4,10,6,6,10,4,3,4,5,3,4,6,6,3,9,16,4,9,5,4,6,8,9,4,4,6,1,9,22,9,2,3,5,6,16,12,7,15,10,29,13,5,6,7,6,7,7,10,1,5,3,4,6,2,7,3,5,4,4,1,1,3,4,5,4,6,11,2,2,1,7,2,2,7,2,1,1,2,1,1,1,9,4,,2,8,4,4,2,1,1,1,8,8,2,5,5,3,2,5,8,2,4,9,6,5,2,3,3,8,6,11,12,17,23
Isoëtes,AQVP,spore,NISP,,21,47,28,47,54,61,81,39,55,65,60,53,49,42,64,66,89,113,116,147,135,122,472,218,136,95,72,70,57,199,76,150,193,103,115,73,82,42,53,74,93,173,88,68,168,195,308,150,133,159,234,112,131,88,217,226,159,159,114,122,72,213,59,45,24,40,27,41,45,45,59,69,82,188,119,112,79,143,109,57,122,176,128,3,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,
Iva,UPHE,pollen,NISP,,,2,,2,,,,1,3,,1,,1,,,,,,1,,,,1,1,1,1,,,,1,1,,1,1,,,,1,1,1,1,,1,1,2,,1,1,1,1,,,1,2,3,2,3,1,1,,1,2,1,,,,,,1,1,2,4,2,1,2,2,2,2,1,,2,,,1,1,,,,,,,,,,,,,,,,,,2,,,,,,,1,,1,,1,,,1,,2,,,
Juglans,TRSH,pollen,NISP,,5,3,5,4,2,1,12,5,4,6,6,3,3,2,,4,1,2,1,4,4,3,9,5,2,3,2,3,1,6,,4,3,1,8,6,5,4,9,5,2,6,9,2,5,2,9,3,8,6,7,6,5,5,10,4,3,4,11,9,6,6,6,2,12,6,6,3,6,6,7,5,2,8,3,4,7,8,3,6,10,8,3,3,3,2,7,9,11,9,7,10,24,7,1,2,,3,1,,1,1,,,1,,,,,1,1,1,1,,,,,,,1,,
Larix,TRSH,pollen,NISP,,,,,,,2,1,,1,,,,,1,1,2,1,,4,,,,1,,,,,,,,,1,,1,,1,,,,,1,1,,,,2,,,,,,,1,,2,,,1,,,1,1,,1,1,,,,,1,1,,,,1,,1,3,,,1,1,3,,1,2,,2,3,1,1,2,4,1,4,2,1,3,3,9,3,10,6,1,2,1,4,3,4,3,6,4,3,4,3,4,4,3,4,6,9,5
Liquidambar,TRSH,pollen,NISP,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morus,TRSH,pollen,NISP,,,1,1,,,,,,,,,,,1,,,,,,,,2,2,,,,,,,,,,1,,,,1,,1,,,,1,,,,1,,,,,1,,1,2,,,,,,,,1,,,1,,,,3,,,,,1,,,,,2,,,,,,,,1,1,,3,,6,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Myriophyllum,AQVP,pollen,NISP,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
